"Order Number","Order Date","Staff ID"
4,2016-01-03,3
14,2016-01-09,3
16,2016-01-12,3
17,2016-01-12,3
18,2016-01-14,3
32,2016-01-21,3
40,2016-01-27,3
60,2016-02-06,3
79,2016-02-17,3
83,2016-02-19,3
93,2016-02-26,3
124,2016-03-16,3
132,2016-03-20,3
142,2016-03-26,3
146,2016-03-28,3
156,2016-04-03,3
162,2016-04-06,3
165,2016-04-08,3
168,2016-04-09,3
171,2016-04-11,3
181,2016-04-18,3
193,2016-04-28,3
216,2016-05-11,3
224,2016-05-17,3
225,2016-05-17,3
232,2016-05-20,3
247,2016-05-30,3
257,2016-06-05,3
264,2016-06-10,3
267,2016-06-11,3
268,2016-06-11,3
278,2016-06-20,3
338,2016-07-28,3
341,2016-07-31,3
349,2016-08-03,3
350,2016-08-03,3
369,2016-08-15,3
389,2016-08-22,3
392,2016-08-23,3
394,2016-08-26,3
403,2016-08-31,3
411,2016-09-02,3
412,2016-09-02,3
417,2016-09-04,3
420,2016-09-05,3
421,2016-09-05,3
424,2016-09-08,3
457,2016-09-24,3
468,2016-09-29,3
470,2016-09-30,3
471,2016-09-30,3
474,2016-10-01,3
480,2016-10-04,3
493,2016-10-09,3
495,2016-10-10,3
507,2016-10-15,3
525,2016-10-26,3
536,2016-10-31,3
540,2016-11-03,3
541,2016-11-04,3
554,2016-11-13,3
566,2016-11-22,3
568,2016-11-23,3
575,2016-11-27,3
576,2016-11-27,3
580,2016-11-30,3
581,2016-12-03,3
596,2016-12-08,3
598,2016-12-09,3
608,2016-12-12,3
628,2016-12-26,3
631,2016-12-27,3
641,2017-01-07,3
643,2017-01-08,3
649,2017-01-10,3
655,2017-01-16,3
662,2017-01-19,3
663,2017-01-20,3
679,2017-01-29,3
680,2017-01-29,3
687,2017-02-02,3
692,2017-02-05,3
693,2017-02-05,3
702,2017-02-08,3
728,2017-02-20,3
746,2017-03-02,3
747,2017-03-03,3
751,2017-03-05,3
771,2017-03-11,3
798,2017-03-26,3
799,2017-03-27,3
815,2017-04-03,3
839,2017-04-15,3
850,2017-04-19,3
867,2017-05-01,3
868,2017-05-01,3
872,2017-05-03,3
875,2017-05-05,3
878,2017-05-07,3
918,2017-05-30,3
928,2017-06-05,3
944,2017-06-14,3
947,2017-06-15,3
949,2017-06-16,3
993,2017-07-09,3
1002,2017-07-14,3
1011,2017-07-18,3
1029,2017-07-29,3
1050,2017-08-09,3
1072,2017-08-18,3
1075,2017-08-19,3
1085,2017-08-21,3
1093,2017-08-25,3
1108,2017-09-03,3
1130,2017-09-18,3
1131,2017-09-18,3
1142,2017-09-23,3
1151,2017-09-29,3
1157,2017-10-01,3
1159,2017-10-01,3
1180,2017-10-13,3
1229,2017-11-05,3
1232,2017-11-06,3
1248,2017-11-16,3
1252,2017-11-18,3
1268,2017-11-26,3
1287,2017-12-07,3
1289,2017-12-08,3
1296,2017-12-14,3
1301,2017-12-16,3
1310,2017-12-24,3
1312,2017-12-25,3
1313,2017-12-25,3
1316,2017-12-26,3
1317,2017-12-27,3
1320,2017-12-28,3
1321,2017-12-30,3
1329,2018-01-04,3
1339,2018-01-11,3
1340,2018-01-12,3
1354,2018-01-19,3
1367,2018-01-27,3
1374,2018-01-30,3
1380,2018-02-05,3
1383,2018-02-07,3
1395,2018-02-15,3
1398,2018-02-16,3
1404,2018-02-23,3
1447,2018-03-18,3
1452,2018-03-20,3
1453,2018-03-20,3
1466,2018-03-26,3
1474,2018-03-30,3
1487,2018-04-03,3
1488,2018-04-03,3
1489,2018-04-03,3
1490,2018-04-03,3
1491,2018-04-04,3
1494,2018-04-05,3
1496,2018-04-06,3
1500,2018-04-06,3
1503,2018-04-07,3
1509,2018-04-09,3
1514,2018-04-10,3
1516,2018-04-11,3
1521,2018-04-12,3
1522,2018-04-12,3
1545,2018-04-17,3
1546,2018-04-17,3
1547,2018-04-17,3
1553,2018-04-18,3
1554,2018-04-18,3
1557,2018-04-19,3
1564,2018-04-21,3
1566,2018-04-21,3
1568,2018-04-21,3
1575,2018-04-23,3
1582,2018-04-25,3
1584,2018-04-26,3
1585,2018-04-26,3
1589,2018-04-27,3
1590,2018-04-27,3
1598,2018-04-29,3
1612,2018-10-21,3
