"Bike Product Names","List Price"
"Electra Amsterdam Fashion 3i Ladies' - 2017/2018",899.99
"Electra Amsterdam Fashion 7i Ladies' - 2017",1099.99
"Electra Amsterdam Original 3i - 2015/2017",659.99
"Electra Amsterdam Original 3i Ladies' - 2017",659.99
"Electra Amsterdam Royal 8i - 2017/2018",1259.90
"Electra Amsterdam Royal 8i Ladies - 2018",1199.99
"Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",319.99
"Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018",319.99
"Electra Cruiser 7D - 2016/2017/2018",319.99
"Electra Cruiser 7D Ladies' - 2016/2018",319.99
"Electra Cruiser 7D Tall - 2016/2018",319.99
"Electra Cruiser Lux 1 - 2016/2018",429.99
"Electra Cruiser Lux 1 - 2017",439.99
"Electra Cruiser Lux 1 Ladies' - 2018",429.99
"Electra Cruiser Lux 3i - 2018",529.99
"Electra Cruiser Lux 3i Ladies' - 2018",529.99
"Electra Cruiser Lux 7D - 2018",479.99
"Electra Cruiser Lux 7D Ladies' - 2018",479.99
"Electra Cruiser Lux Fat Tire 1 Ladies - 2017",599.99
"Electra Cruiser Lux Fat Tire 7D - 2018",639.99
"Electra Daydreamer 3i Ladies' - 2018",899.99
"Electra Delivery 3i - 2016/2017/2018",959.99
"Electra Girl's Hawaii 1 (20-inch) - 2015/2016",299.99
"Electra Girl's Hawaii 1 16" - 2017",299.99
"Electra Girl's Hawaii 1 16" - 2017",299.99
"Electra Glam Punk 3i Ladies' - 2017",799.99
"Electra Heartchya 1 (20-inch) - Girl's - 2018",319.99
"Electra Koa 3i Ladies' - 2018",899.99
"Electra Loft Go! 8i - 2018",2799.99
"Electra Morningstar 3i Ladies' - 2018",749.99
"Electra Moto 1 - 2016",529.99
"Electra Moto 3i (20-inch) - Boy's - 2017",349.99
"Electra Moto 3i - 2018",639.99
"Electra Queen of Hearts 3i - 2018",749.99
"Electra Relic 3i - 2018",849.99
"Electra Savannah 1 (20-inch) - Girl's - 2018",319.99
"Electra Savannah 3i (20-inch) - Girl's - 2017",349.99
"Electra Straight 8 1 (20-inch) - Boy's - 2018",389.99
"Electra Straight 8 3i (20-inch) - Boy's - 2017",489.99
"Electra Straight 8 3i - 2018",909.99
"Electra Sugar Skulls 1 (20-inch) - Girl's - 2017",299.99
"Electra Super Moto 8i - 2018",899.99
"Electra Superbolt 1 20" - 2018",319.99
"Electra Superbolt 3i 20" - 2018",369.99
