product_name,list_price
"Electra Moto 1 - 2016",529.99
"Electra Cruiser Lux 3i - 2018",529.99
"Electra Cruiser Lux 3i Ladies' - 2018",529.99
"Sun Bicycles Streamway 7 - 2017",533.99
"Haro SR 1.1 - 2017",539.99
"Electra Townie Original 21D - 2016",549.99
"Electra Townie Original 21D - 2016",549.99
"Haro Flightline Two 26 Plus - 2017",549.99
"Sun Bicycles Streamway 3 - 2017",551.99
"Electra Townie Original 21D - 2018",559.99
"Electra Townie Original 21D Ladies' - 2018",559.99
"Electra Townie Original 21D - 2018",559.99
"Electra Townie Original 21D Ladies' - 2018",559.99
"Trek Marlin 6 - 2018",579.99
"Electra Townie Original 7D EQ - 2016",599.99
"Electra Townie Original 7D EQ - Women's - 2016",599.99
"Electra Townie Original 7D EQ - 2016",599.99
"Electra Cruiser Lux Fat Tire 1 Ladies - 2017",599.99
"Electra Townie Original 7D EQ - 2018",599.99
"Electra Townie Original 7D EQ Ladies' - 2017/2018",599.99
"Sun Bicycles Biscayne Tandem 7 - 2017",619.99
"Electra Moto 3i - 2018",639.99
"Electra Cruiser Lux Fat Tire 7D - 2018",639.99
"Electra Townie Original 3i EQ Ladies' - 2018",639.99
"Sun Bicycles Biscayne Tandem CB - 2017",647.99
"Electra Amsterdam Original 3i - 2015/2017",659.99
"Electra Amsterdam Original 3i Ladies' - 2017",659.99
"Electra Townie Original 3i EQ - 2017/2018",659.99
"Electra Townie Original 21D EQ - 2017/2018",679.99
"Electra Townie Original 21D EQ Ladies' - 2018",679.99
"Electra Townie Original 21D EQ - 2017/2018",679.99
"Electra Townie Original 21D EQ Ladies' - 2018",679.99
"Electra Townie Commute 8D Ladies' - 2018",699.99
"Electra Townie Commute 8D Ladies' - 2018",699.99
"Ritchey Timberwolf Frameset - 2016",749.99
"Surly Ogre Frameset - 2017",749.99
"Sun Bicycles Brickell Tandem 7 - 2017",749.99
"Trek Marlin 7 - 2017/2018",749.99
"Trek Domane AL 2 Women's - 2018",749.99
"Surly ECR Frameset - 2018",749.99
"Trek Domane AL 2 - 2018",749.99
"Electra Queen of Hearts 3i - 2018",749.99
"Electra Morningstar 3i Ladies' - 2018",749.99
"Electra Townie Balloon 8D EQ - 2016/2017/2018",749.99
"Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018",749.99
"Electra Townie Commute 8D - 2018",749.99
"Electra White Water 3i - 2018",749.99
"Electra Townie Balloon 3i EQ - 2017/2018",749.99
"Electra Townie Balloon 3i EQ - 2017/2018",749.99
"Electra Townie Balloon 8D EQ - 2016/2017/2018",749.99
"Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018",749.99
"Electra Townie Commute 8D - 2018",749.99
"Sun Bicycles Brickell Tandem CB - 2017",761.99
"Electra Glam Punk 3i Ladies' - 2017",799.99
"Electra Townie Balloon 3i EQ Ladies' - 2018",799.99
"Electra Townie Balloon 3i EQ Ladies' - 2018",799.99
"Sun Bicycles Spider 3i - 2017",832.99
"Surly Troll Frameset - 2017",832.99
"Electra Relic 3i - 2018",849.99
"Haro SR 1.2 - 2017",869.99
"Surly Steamroller - 2017",875.99
"Electra Tiger Shark 3i - 2018",899.99
"Electra Super Moto 8i - 2018",899.99
"Electra Daydreamer 3i Ladies' - 2018",899.99
"Electra Koa 3i Ladies' - 2018",899.99
"Electra Townie Commute 27D Ladies - 2018",899.99
"Electra Townie Balloon 7i EQ Ladies' - 2017/2018",899.99
"Electra Townie Commute 27D - 2018",899.99
"Electra Amsterdam Fashion 3i Ladies' - 2017/2018",899.99
"Electra Townie Balloon 7i EQ - 2018",899.99
"Electra Townie Balloon 7i EQ - 2018",899.99
"Electra Townie Balloon 7i EQ Ladies' - 2017/2018",899.99
"Electra Townie Commute 27D - 2018",899.99
"Electra Townie Commute 27D Ladies - 2018",899.99
"Electra Straight 8 3i - 2018",909.99
"Trek X-Caliber 7 - 2018",919.99
"Trek Stache Carbon Frameset - 2018",919.99
"Trek Domane AL 3 - 2018",919.99
"Trek Domane AL 3 Women's - 2018",919.99
"Trek CrossRip 1 - 2018",959.99
"Electra Delivery 3i - 2016/2017/2018",959.99
"Surly Wednesday Frameset - 2016",999.99
"Surly Big Dummy Frameset - 2017",999.99
"Trek X-Caliber 8 - 2017",999.99
"Surly Ice Cream Truck Frameset - 2017",999.99
"Trek X-Caliber 8 - 2018",999.99
"Trek Farley Carbon Frameset - 2018",999.99
"Electra Amsterdam Fashion 7i Ladies' - 2017",1099.99
"Trek Domane ALR 3 - 2018",1099.99
"Electra Amsterdam Royal 8i Ladies - 2018",1199.99
"Electra Amsterdam Royal 8i - 2017/2018",1259.90
"Trek CrossRip 2 - 2018",1299.99
"Heller Shagamaw Frame - 2016",1320.99
"Surly Pack Rat - 2018",1349.00
"Haro SR 1.3 - 2017",1409.99
"Haro Shift R3 - 2017",1469.99
"Trek Ticket S Frame - 2018",1469.99
"Surly Krampus - 2018",1499.00
"Trek Stache 5 - 2017",1499.99
"Trek Emonda S 4 - 2017",1499.99
"Trek Procal AL Frameset - 2018",1499.99
"Trek Procaliber Frameset - 2018",1499.99
"Trek Remedy 27.5 C Frameset - 2018",1499.99
"Trek X-Caliber Frameset - 2018",1499.99
"Surly Straggler - 2016",1549.00
"Surly Straggler 650b - 2018",1549.00
"Surly Straggler - 2018",1549.00
"Surly Straggler - 2018",1549.00
"Surly Straggler 650b - 2018",1549.00
"Trek Domane ALR 4 Disc - 2018",1549.99
"Trek Domane ALR 4 Disc Women's - 2018",1549.99
"Sun Bicycles ElectroLite - 2017",1559.99
"Trek Stache 5 - 2018",1599.99
"Surly Wednesday - 2017",1632.99
"Surly Straggler 650b - 2016",1680.99
"Trek Checkpoint ALR 4 Women's - 2019",1699.99
"Trek Remedy 29 Carbon Frameset - 2016",1799.99
"Trek Procaliber 6 - 2018",1799.99
"Trek Domane ALR 5 Disc - 2018",1799.99
"Trek Domane ALR 5 Gravel - 2018",1799.99
"Trek Crockett 5 Disc - 2018",1799.99
"Surly ECR 27.5 - 2018",1899.00
"Surly ECR - 2018",1899.00
"Trek Emonda S 5 - 2017",1999.99
"Trek Checkpoint ALR 5 - 2019",1999.99
"Trek Checkpoint ALR 5 Women's - 2019",1999.99
"Trek Domane SL 5 - 2018",2199.99
"Trek Domane SL 5 Women's - 2018",2199.99
"Trek Fuel EX 5 Plus - 2018",2249.99
"Trek Fuel EX 5 27.5 Plus - 2017",2299.99
"Trek Emonda ALR 6 - 2018",2299.99
"Trek Verve+ - 2018",2299.99
"Trek Verve+ Lowstep - 2018",2299.99
"Surly Karate Monkey 27.5+ Frameset - 2017",2499.99
"Trek Fuel EX 7 29 - 2018",2499.99
"Surly Krampus Frameset - 2018",2499.99
"Surly Troll Frameset - 2018",2499.99
"Trek Domane SL 5 Disc Women's - 2018",2499.99
"Trek 1120 - 2018",2499.99
"Trek Domane SL 5 Disc - 2018",2499.99
"Heller Bloodhound Trail - 2018",2599.00
"Heller Shagamaw GX1 - 2018",2599.00
"Trek Domane S 5 Disc - 2017",2599.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Electra Townie Go! 8i Ladies' - 2018",2599.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Electra Townie Go! 8i Ladies' - 2018",2599.99
"Electra Townie Go! 8i - 2017/2018",2599.99
"Trek Domane S 6 - 2017",2699.99
"Trek Conduit+ - 2018",2799.99
"Trek Neko+ - 2018",2799.99
"Trek Lift+ Lowstep - 2018",2799.99
"Trek Dual Sport+ - 2018",2799.99
"Electra Loft Go! 8i - 2018",2799.99
"Trek Lift+ - 2018",2799.99
"Trek Checkpoint SL 5 Women's - 2019",2799.99
"Trek Fuel EX 8 29 - 2016",2899.99
"Trek Conduit+ - 2016",2999.99
"Trek Remedy 7 27.5 - 2018",2999.99
"Trek Emonda SL 6 Disc - 2018",2999.99
"Electra Townie Commute Go! - 2018",2999.99
"Electra Townie Commute Go! Ladies' - 2018",2999.99
"Trek Crockett 7 Disc - 2018",2999.99
"Electra Townie Commute Go! - 2018",2999.99
"Electra Townie Commute Go! Ladies' - 2018",2999.99
"Trek Domane SL Disc Frameset - 2017",3199.99
"Trek Fuel EX 8 29 - 2018",3199.99
"Trek Fuel EX 8 29 XT - 2018",3199.99
"Trek Domane SL 6 - 2018",3199.99
"Trek Domane ALR Disc Frameset - 2018",3199.99
"Trek Domane ALR Frameset - 2018",3199.99
"Trek Domane SLR Disc Frameset - 2018",3199.99
"Trek Domane SLR Frameset - 2018",3199.99
"Trek Madone 9 Frameset - 2018",3199.99
"Trek Checkpoint ALR Frameset - 2019",3199.99
"Trek Boone 5 Disc - 2018",3299.99
"Trek Domane SL 6 - 2017",3499.99
"Trek Boone 7 - 2017",3499.99
"Trek Boone Race Shop Limited - 2017",3499.99
"Trek Domane SL 6 Disc - 2018",3499.99
"Trek XM700+ Lowstep - 2018",3499.99
"Trek XM700+ - 2018",3499.99
"Trek Powerfly 5 - 2018",3499.99
"Trek Powerfly 5 Women's - 2018",3499.99
"Trek Super Commuter+ 7 - 2018",3599.99
"Trek Checkpoint SL 6 - 2019",3799.99
"Trek Slash 8 27.5 - 2016",3999.99
"Trek Boone 7 Disc - 2018",3999.99
"Trek Emonda SL 7 - 2018",4499.99
"Trek Emonda SLR 6 - 2018",4499.99
"Trek CrossRip+ - 2018",4499.99
"Trek Powerfly 5 FS - 2018",4499.99
"Trek Fuel EX 9.8 29 - 2017",4999.99
"Trek Madone 9.2 - 2017",4999.99
"Trek Powerfly 8 FS Plus - 2017",4999.99
"Trek Remedy 9.8 27.5 - 2018",4999.99
"Trek Domane SLR 6 - 2018",4999.99
"Trek Domane SL 7 Women's - 2018",4999.99
"Trek Powerfly 7 FS - 2018",4999.99
"Trek Super Commuter+ 8S - 2018",4999.99
"Trek Fuel EX 9.8 27.5 Plus - 2017",5299.99
"Trek Remedy 9.8 - 2017",5299.99
"Trek Domane SLR 6 Disc - 2017",5499.99
"Trek Domane SL 8 Disc - 2018",5499.99
"Trek Domane SLR 6 Disc Women's - 2018",5499.99
"Trek Domane SLR 6 Disc - 2018",5499.99
"Trek Silque SLR 7 Women's - 2017",5999.99
"Trek Silque SLR 8 Women's - 2017",6499.99
"Trek Domane SL Frameset - 2018",6499.99
"Trek Domane SL Frameset Women's - 2018",6499.99
"Trek Emonda SLR 8 - 2018",6499.99
"Trek Domane SLR 8 Disc - 2018",7499.99
"Trek Domane SLR 9 Disc - 2018",11999.99
